127.0.0.1, 2020-01-20 11:12:15, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.119582
127.0.0.1, 2020-01-20 11:12:18, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.201834
127.0.0.1, 2020-01-20 11:12:19, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.085982
127.0.0.1, 2020-01-20 11:12:20, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.146939
127.0.0.1, 2020-01-20 11:12:22, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.119449
127.0.0.1, 2020-01-20 11:12:50, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.099881
127.0.0.1, 2020-01-20 11:12:51, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.117878
127.0.0.1, 2020-01-20 11:12:53, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.145606
127.0.0.1, 2020-01-20 11:12:57, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.149322
127.0.0.1, 2020-01-20 11:12:57, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.094983
127.0.0.1, 2020-01-20 11:12:59, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.121640
127.0.0.1, 2020-01-20 11:13:02, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.342948
127.0.0.1, 2020-01-20 11:13:03, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.191373
127.0.0.1, 2020-01-20 11:13:06, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.087877
127.0.0.1, 2020-01-20 11:13:07, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.151657
127.0.0.1, 2020-01-20 11:13:16, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.159104
127.0.0.1, 2020-01-20 11:13:18, GET, /NE_PAGOS/default/procesos_manage/new/t_procesos, HTTP/1.1, 200, 0.122938
127.0.0.1, 2020-01-20 11:13:20, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.145571
127.0.0.1, 2020-01-20 11:13:44, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 500, 0.225050
127.0.0.1, 2020-01-20 11:13:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000677
127.0.0.1, 2020-01-20 11:13:46, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.11-13-44.6e1698bd-7b55-4249-99ba-33eb9651400f, HTTP/1.1, 200, 0.086434
127.0.0.1, 2020-01-20 11:13:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000602
127.0.0.1, 2020-01-20 11:14:06, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.11-13-44.6e1698bd-7b55-4249-99ba-33eb9651400f, HTTP/1.1, 200, 0.107263
127.0.0.1, 2020-01-20 11:14:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000698
127.0.0.1, 2020-01-20 11:14:09, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.127105
127.0.0.1, 2020-01-20 11:14:09, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001061
127.0.0.1, 2020-01-20 11:14:11, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.083296
127.0.0.1, 2020-01-20 11:14:11, GET, /NE_PAGOS/default/error, HTTP/1.1, 200, 0.098918
127.0.0.1, 2020-01-20 11:14:41, GET, /, HTTP/1.1, 303, 0.001099
127.0.0.1, 2020-01-20 11:14:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.063439
127.0.0.1, 2020-01-20 11:14:42, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000815
127.0.0.1, 2020-01-20 11:14:44, GET, /admin/default/site, HTTP/1.1, 200, 0.083569
127.0.0.1, 2020-01-20 11:14:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000625
127.0.0.1, 2020-01-20 11:14:49, GET, /admin/default/design/NE_PAGOS, HTTP/1.1, 200, 0.264581
127.0.0.1, 2020-01-20 11:14:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000630
127.0.0.1, 2020-01-20 11:15:04, GET, /admin/default/peek/NE_PAGOS/models/db_wizard_populate.py, HTTP/1.1, 200, 0.113662
127.0.0.1, 2020-01-20 11:15:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000731
127.0.0.1, 2020-01-20 11:15:09, GET, /admin/default/design/NE_PAGOS, HTTP/1.1, 200, 0.312984
127.0.0.1, 2020-01-20 11:15:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000644
127.0.0.1, 2020-01-20 11:15:17, GET, /NE_PAGOS/appadmin/index, HTTP/1.1, 200, 0.167879
